first_name,second_name,team,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Matz,Sels,Nott'm Forest,0,0,25,990,18,0.0,187.0,0.0,1,142,18.7,1,0,1,0.1,45,GLK
Rodrigo,Duarte Ribeiro,Nott'm Forest,0,0,2,2,0,0.8,1.0,0.0,0,5,0.2,0,0,0,0.0,45,FWD
Auston,Trusty,Sheffield Utd,0,0,24,2118,65,74.6,408.4,79.0,0,283,56.4,1,0,4,2.0,39,DEF
Cameron,Archer,Sheffield Utd,4,3,72,1488,38,243.9,248.4,275.0,9,227,76.7,2,0,2,3.7,42,FWD
Mason,Holgate,Sheffield Utd,0,0,1,534,19,21.7,96.4,12.0,0,58,12.9,0,1,2,0.4,40,DEF
James,McAtee,Sheffield Utd,3,4,75,1767,63,330.5,294.2,294.0,0,254,91.8,2,0,2,0.6,44,MID
Anel,Ahmedhodžić,Sheffield Utd,1,0,26,2289,74,46.9,458.2,179.0,4,287,68.7,1,0,9,0.2,43,DEF
Jordan,Amissah,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GLK
George,Baldock,Sheffield Utd,0,2,21,968,21,102.6,173.6,21.0,2,117,29.6,0,0,4,4.7,38,DEF
Chris,Basham,Sheffield Utd,0,0,8,316,6,27.4,69.2,14.0,0,35,11.1,0,0,1,0.3,39,DEF
Jayden,Bogle,Sheffield Utd,2,3,52,2350,65,151.1,413.2,263.0,0,299,82.8,3,0,9,0.1,45,DEF
Rhian,Brewster,Sheffield Utd,0,0,9,301,7,27.2,19.8,82.0,0,10,12.9,0,1,0,0.0,49,FWD
Ismaila,Coulibaly,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Adam,Davies,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GLK
John,Egan,Sheffield Utd,0,0,1,482,17,1.4,91.2,38.0,0,54,13.1,0,0,2,0.1,42,DEF
John,Fleck,Sheffield Utd,0,0,3,89,5,26.0,5.4,2.0,0,13,3.3,0,0,1,0.0,49,MID
Wes,Foderingham,Sheffield Utd,0,0,58,2198,63,0.0,755.0,0.0,7,429,75.6,1,0,2,0.3,44,GLK
Daniel,Jebbison,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,FWD
Max,Lowe,Sheffield Utd,0,1,11,395,9,29.3,93.4,18.0,0,38,14.0,0,0,1,0.0,43,DEF
Oliver,McBurnie,Sheffield Utd,6,3,66,1279,43,191.1,375.4,448.0,9,225,101.5,1,2,3,0.4,54,FWD
Iliman,Ndiaye,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Rhys,Norrington-Davies,Sheffield Utd,0,0,2,109,6,11.7,8.2,2.0,0,12,2.0,0,0,1,0.1,39,DEF
Oliver,Norwood,Sheffield Utd,1,0,41,1417,45,253.8,304.4,82.0,3,229,64.0,0,0,8,0.0,48,MID
Ben,Osborn,Sheffield Utd,0,1,30,1085,28,137.8,137.8,22.0,0,132,29.5,0,0,3,0.0,48,MID
William,Osula,Sheffield Utd,0,1,23,752,22,23.6,24.0,183.0,0,23,22.3,0,0,4,0.9,43,FWD
Jack,Robinson,Sheffield Utd,1,1,30,2590,75,130.1,564.4,175.0,1,350,87.2,1,0,8,0.1,43,DEF
Anis,Slimane,Sheffield Utd,0,0,12,363,14,44.1,37.6,58.0,0,22,14.0,1,0,2,0.0,47,MID
Yasser,Larouci,Sheffield Utd,0,0,9,473,10,27.2,78.8,39.0,0,59,14.5,0,0,1,0.0,43,DEF
Bénie,Traoré,Sheffield Utd,0,0,11,383,13,56.7,25.8,31.0,0,14,11.2,0,0,0,0.0,51,FWD
Vini,de Souza Costa,Sheffield Utd,1,1,67,2408,72,84.4,499.6,106.0,4,328,69.0,1,0,2,0.0,50,MID
Femi,Seriki,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF
Louie,Marsh,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Andre,Brooks,Sheffield Utd,0,0,19,671,19,31.4,55.6,46.0,0,62,13.4,1,0,1,0.0,44,MID
Antwoine,Hackford,Sheffield Utd,0,0,2,11,1,0.3,0.0,0.0,0,5,0.0,0,0,0,0.1,44,FWD
Gustavo,Hamer,Sheffield Utd,4,6,94,2470,67,648.4,424.4,226.0,4,384,129.7,2,0,9,0.2,49,MID
Tom,Davies,Sheffield Utd,0,0,7,214,11,18.1,26.4,48.0,0,11,9.4,0,0,2,0.0,50,MID
Luke,Thomas,Sheffield Utd,0,0,7,916,29,53.9,127.8,64.0,0,80,24.7,0,0,3,0.1,40,DEF
Ryan,Oné,Sheffield Utd,0,0,1,7,2,0.3,0.0,0.0,0,3,0.0,0,0,0,0.0,44,MID
Jili,Buyabu,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Sydie,Peck,Sheffield Utd,0,0,1,9,0,0.1,0.0,0.0,0,3,0.0,0,0,0,0.0,44,MID
Ben,Brereton,Sheffield Utd,4,1,41,676,21,69.2,195.2,198.0,4,110,46.3,0,0,3,0.4,50,MID
Ivo,Grbic,Sheffield Utd,0,0,15,771,25,0.0,212.6,0.0,0,149,21.1,0,0,1,0.1,45,GLK
Billy,Blacker,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Oliver,Arblaster,Sheffield Utd,0,0,10,549,13,80.9,73.6,21.0,0,70,17.7,0,0,1,0.0,45,MID
Dovydas,Sasnauskas,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Sam,Curtis,Sheffield Utd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Brennan,Johnson,Spurs,5,9,110,1821,32,458.6,460.0,650.0,9,345,157.1,4,0,3,0.9,58,MID
Brandon,Austin,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GLK
Rodrigo,Bentancur,Spurs,1,1,24,721,16,148.1,156.0,115.0,0,109,41.7,0,0,6,0.0,54,MID
Yves,Bissouma,Spurs,0,0,38,1818,29,240.4,362.6,137.0,0,278,74.1,7,2,7,0.3,50,MID
Bryan,Gil Salvatierra,Spurs,0,0,11,188,11,53.3,25.6,58.0,0,39,13.8,0,0,0,0.0,49,MID
Ben,Davies,Spurs,1,1,31,998,18,76.5,283.6,118.0,0,201,48.1,1,0,1,0.4,43,DEF
Eric,Dier,Spurs,0,0,2,199,8,1.0,55.8,4.0,0,31,6.0,0,0,0,0.4,42,DEF
Emerson,Leite de Souza Junior,Spurs,1,0,26,993,25,96.1,286.8,50.0,4,210,43.6,0,0,3,0.7,43,DEF
Fraser,Forster,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,38,GLK
Pierre-Emile,Højbjerg,Spurs,0,0,34,1089,23,167.2,245.4,90.0,0,198,50.4,1,0,4,0.3,51,MID
Harry,Kane,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,125,FWD
Dejan,Kulusevski,Spurs,6,3,106,2320,35,821.2,569.0,769.0,11,395,215.8,7,0,6,2.1,67,MID
Hugo,Lloris,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,47,GLK
Giovani,Lo Celso,Spurs,2,2,42,463,11,204.9,199.0,91.0,6,171,49.6,1,0,2,0.1,48,MID
James,Maddison,Spurs,4,9,101,1754,24,773.1,538.4,515.0,9,416,182.5,6,0,4,9.8,78,MID
Tanguy,Ndombélé Alvaro,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID
Pedro,Porro,Spurs,1,8,110,2565,42,764.1,709.2,270.0,17,606,174.7,6,0,3,15.3,59,DEF
Ivan,Perišić,Spurs,0,1,6,98,1,71.2,41.6,27.0,0,34,14.0,0,0,2,0.7,47,DEF
Richarlison,de Andrade,Spurs,10,3,110,1364,17,194.9,504.2,696.0,7,266,139.0,7,0,3,2.5,68,MID
Joe,Rodon,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Cristian,Romero,Spurs,4,0,91,2250,34,140.7,670.6,143.0,15,499,95.7,6,1,6,9.8,51,DEF
Davinson,Sánchez,Spurs,0,0,0,76,2,5.0,17.0,4.0,0,9,2.6,0,0,1,0.1,44,DEF
Pape Matar,Sarr,Spurs,3,3,77,1646,20,303.6,365.2,284.0,4,342,95.8,8,0,6,1.7,44,MID
Ryan,Sessegnon,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Oliver,Skipp,Spurs,0,0,18,569,15,117.3,76.6,56.0,0,87,24.7,0,0,2,0.1,45,MID
Son,Heung-min,Spurs,15,9,186,2397,39,729.9,844.8,915.0,24,611,248.9,7,0,1,23.9,99,MID
Djed,Spence,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
Japhet,Tanganga,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF
Destiny,Udogie,Spurs,2,3,79,2391,43,357.9,534.8,279.0,8,402,117.3,5,1,5,9.3,50,DEF
Guglielmo,Vicario,Spurs,0,0,98,2880,49,0.0,829.2,0.0,9,609,83.0,6,0,2,7.7,53,GLK
Alfie,Whiteman,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GLK
Manor,Solomon,Spurs,0,2,14,196,2,144.3,73.4,61.0,2,53,28.0,0,0,1,0.1,51,MID
Micky,van de Ven,Spurs,2,0,63,1801,26,43.7,434.8,55.0,7,396,53.5,4,0,3,1.7,44,DEF
Dane,Scarlett,Spurs,0,0,2,2,0,0.1,0.0,0.0,0,4,0.0,0,0,0,0.1,45,FWD
Alejo,Véliz,Spurs,1,0,11,45,2,0.9,35.2,29.0,0,40,6.5,0,0,1,0.1,54,FWD
Ashley,Phillips,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Jamie,Donley,Spurs,0,0,2,3,1,0.0,3.0,0.0,0,3,0.3,0,0,1,0.1,45,FWD
Alfie,Dorrington,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Yago,de Santiago Alonso,Spurs,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Timo,Werner,Spurs,2,4,45,778,14,238.2,178.8,301.0,5,173,71.8,0,0,1,0.9,63,FWD
Radu,Dragusin,Spurs,0,0,6,229,5,5.7,60.2,4.0,0,43,7.0,0,0,1,0.0,42,DEF
Kalvin,Phillips,West Ham,0,0,9,379,13,23.0,31.4,31.0,0,23,8.6,0,1,1,0.0,47,MID
Nayef,Aguerd,West Ham,1,0,36,1857,44,58.1,439.4,145.0,0,282,64.4,2,1,1,0.5,44,DEF
Michail,Antonio,West Ham,4,2,60,1305,19,127.1,231.8,283.0,7,171,63.3,5,0,5,1.9,57,FWD
Alphonse,Areola,West Ham,0,0,106,2340,42,0.0,843.6,0.0,11,519,84.3,4,0,1,24.7,42,GLK
Saïd,Benrahma,West Ham,0,1,20,611,8,164.9,85.4,196.0,0,64,44.6,2,0,1,0.3,56,MID
Jarrod,Bowen,West Ham,15,5,165,2750,55,409.8,817.0,1008.0,11,481,223.2,5,0,2,13.5,77,MID
Maxwel,Cornet,West Ham,1,0,12,104,3,47.1,44.0,54.0,0,38,14.5,0,0,0,0.0,52,MID
Vladimír,Coufal,West Ham,0,7,81,2685,54,437.4,572.2,71.0,9,459,108.3,4,1,5,2.5,46,DEF
Conor,Coventry,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Aaron,Cresswell,West Ham,0,0,6,276,6,64.7,40.2,0.0,0,47,10.5,0,0,1,0.3,42,DEF
Flynn,Downes,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Emerson,Palmieri dos Santos,West Ham,1,4,82,2715,51,350.9,559.2,136.0,8,482,104.6,5,0,8,2.5,44,DEF
Lukasz,Fabianski,West Ham,0,0,23,631,16,0.0,221.8,0.0,1,139,22.2,1,0,0,1.5,42,GLK
Pablo,Fornals Malla,West Ham,0,0,19,418,9,75.5,64.2,79.0,0,68,21.9,1,0,0,0.0,46,MID
Danny,Ings,West Ham,1,2,32,344,9,63.0,78.2,123.0,4,95,26.3,0,0,1,0.6,55,FWD
Ben,Johnson,West Ham,0,0,16,493,15,22.0,74.6,38.0,0,77,13.6,1,0,1,0.1,44,DEF
Thilo,Kehrer,West Ham,0,0,2,19,1,0.7,8.6,0.0,0,7,0.9,0,0,2,0.1,42,DEF
Divin,Mubama,West Ham,0,0,5,75,2,2.4,0.2,5.0,0,14,0.8,0,0,0,4.6,41,FWD
Lucas,Tolentino Coelho de Lima,West Ham,4,6,91,2204,37,635.9,525.8,318.0,7,361,148.0,4,0,9,1.6,60,MID
Gianluca,Scamacca,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60,FWD
Tomáš,Souček,West Ham,6,1,97,2479,49,183.2,617.2,438.0,6,372,123.9,5,0,6,0.9,49,MID
Nikola,Vlašić,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Kurt,Zouma,West Ham,3,0,72,2388,47,43.8,533.6,215.0,6,384,79.3,3,0,3,1.6,45,DEF
Angelo,Ogbonna,West Ham,0,0,18,319,2,0.7,82.2,0.0,0,73,8.3,2,0,0,0.1,42,DEF
Edson,Álvarez Velázquez,West Ham,1,1,57,2147,35,164.1,494.0,87.0,3,312,74.5,5,0,10,0.2,50,MID
Joseph,Anang,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GLK
James,Ward-Prowse,West Ham,6,7,132,2669,54,940.0,747.6,295.0,18,637,198.0,5,0,4,6.0,58,MID
Konstantinos,Mavropanos,West Ham,1,0,39,1410,24,41.9,289.6,108.0,3,220,43.8,3,0,2,0.1,45,DEF
Mohammed,Kudus,West Ham,7,7,116,2041,45,409.8,546.0,458.0,13,405,141.5,3,0,6,3.7,68,MID
Lewis,Orford,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Kaelan,Casey,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Oliver,Scarles,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Callum,Marshall,West Ham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
George,Earthy,West Ham,0,0,1,9,0,0.1,0.4,0.0,0,3,0.1,0,0,0,0.0,45,MID
Tommy,Doyle,Wolves,0,0,34,1053,21,141.9,177.8,51.0,0,181,37.1,3,0,2,0.1,44,MID
Rayan,Aït-Nouri,Wolves,2,3,71,1911,31,316.6,382.2,217.0,6,307,91.5,3,0,6,6.4,48,DEF
Daniel,Bentley,Wolves,0,0,17,292,4,0.0,66.2,0.0,1,65,6.6,2,0,0,0.8,39,GLK
Bendegúz,Bolla,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF
Hugo,Bueno López,Wolves,0,0,27,555,10,109.1,122.8,25.0,0,117,25.5,2,0,1,0.1,44,DEF
Francisco Jorge,Tomás Oliveira,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Luke,Cundle,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Craig,Dawson,Wolves,1,1,69,2209,38,108.6,611.8,222.0,6,421,94.4,6,0,7,0.6,45,DEF
Fábio,Silva,Wolves,0,0,8,259,8,51.6,25.2,93.0,0,7,16.9,1,0,2,0.2,52,FWD
Gonçalo Manuel,Ganchinho Guedes,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Joe,Hodge,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Ki-Jana,Hoever,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Hwang,Hee-chan,Wolves,10,3,107,1654,24,221.2,447.6,477.0,10,292,114.8,3,0,4,2.3,54,MID
João Victor,Gomes da Silva,Wolves,2,2,66,2138,37,280.8,410.0,152.0,3,315,84.3,4,0,9,0.1,49,MID
Jonathan,Castro Otto,Wolves,0,0,1,4,0,0.0,5.0,0.0,0,3,0.5,0,0,0,0.0,43,DEF
Bruno,Cavaco Jordão,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,MID
Sasa,Kalajdzic,Wolves,2,0,24,158,2,48.7,94.0,66.0,4,88,20.7,1,0,0,0.1,49,FWD
Max,Kilman,Wolves,2,0,77,2885,51,197.8,695.6,198.0,3,503,109.4,5,0,6,2.5,46,DEF
Tom,King,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,39,GLK
Mario,Lemina,Wolves,4,0,80,2525,44,250.3,508.6,418.0,10,420,117.9,4,1,9,0.1,49,MID
Pedro,Lomba Neto,Wolves,2,11,85,1504,27,597.1,367.0,382.0,8,307,134.1,3,0,4,1.5,55,MID
Daniel,Castelo Podence,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53,MID
José,Malheiro de Sá,Wolves,0,1,93,2592,47,10.0,738.6,0.0,8,514,75.0,4,0,1,2.4,50,GLK
Pablo,Sarabia,Wolves,4,7,95,1602,22,768.2,450.8,390.0,8,350,161.1,6,0,3,1.7,48,MID
Matija,Šarkić,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GLK
Nélson,Cabral Semedo,Wolves,0,2,63,2697,50,371.2,455.8,141.0,0,431,97.0,5,0,8,0.7,45,DEF
Toti António,Gomes,Wolves,0,4,69,2237,35,90.3,432.0,133.0,3,398,65.9,4,0,5,0.4,44,DEF
Boubacar,Traoré,Wolves,0,0,19,439,13,59.0,62.6,18.0,0,77,14.2,0,0,2,0.3,43,MID
Matheus,Santos Carneiro Da Cunha,Wolves,11,6,121,2086,37,360.6,708.4,773.0,15,479,183.8,5,0,7,3.7,56,FWD
Matt,Doherty,Wolves,1,0,36,826,16,134.1,179.6,95.0,1,139,41.0,1,0,1,0.2,43,DEF
Santiago,Bueno,Wolves,0,0,10,587,12,15.2,112.6,2.0,0,88,13.0,0,0,1,0.0,45,DEF
Enso,González,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Nathan,Fraser,Wolves,0,0,6,182,3,27.9,22.4,30.0,0,15,7.9,1,0,1,0.1,45,FWD
Jean-Ricner,Bellegarde,Wolves,2,1,38,796,19,156.1,181.4,155.0,1,130,49.1,0,1,0,0.0,49,MID
Matthew,Whittingham,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tawanda,Chirewa,Wolves,0,0,5,40,1,19.6,10.0,8.0,0,13,3.6,0,0,1,0.0,44,MID
Justin,Hubner,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Owen,Hesketh,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ty,Barnett,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Harvey,Griffiths,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Yerson,Mosquera,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Noha,Lemina,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Wesley,Okoduwa,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Leon,Chiwome,Wolves,0,0,5,173,4,1.2,7.8,13.0,0,12,2.2,0,0,0,0.0,45,FWD
Fletcher,Holman,Wolves,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
