first_name,second_name,web_name,id,team,element_type
Kieffer,Moore,Moore,76,Bournemouth,FWD
Norberto,Murara Neto,Neto,77,Bournemouth,GLK
Dango,Ouattara,O.Dango,78,Bournemouth,MID
Ben,Pearson,Pearson,79,Bournemouth,MID
Darren,Randolph,Randolph,80,Bournemouth,GLK
Joe,Rothwell,Rothwell,81,Bournemouth,MID
Antoine,Semenyo,Semenyo,82,Bournemouth,FWD
Marcos,Senesi,Senesi,83,Bournemouth,DEF
Adam,Smith,Smith,84,Bournemouth,DEF
Dominic,Solanke,Solanke,85,Bournemouth,FWD
Marcus,Tavernier,Tavernier,86,Bournemouth,MID
Hamed,Traorè,Hamed Traorè,87,Bournemouth,MID
Mark,Travers,Travers,88,Bournemouth,GLK
Illia,Zabarnyi,Zabarnyi,89,Bournemouth,DEF
Milos,Kerkez,Kerkez,595,Bournemouth,DEF
Ionuț,Radu,Radu,607,Bournemouth,GLK
Ben,Greenwood,Greenwood,619,Bournemouth,DEF
Max,Aarons,Aarons,643,Bournemouth,DEF
Alex,Scott,Scott,644,Bournemouth,MID
Tyler,Adams,Adams,673,Bournemouth,MID
Luis,Sinisterra,Sinisterra,705,Bournemouth,MID
Romain,Faivre,Faivre,799,Bournemouth,MID
Max,Kinsey,Kinsey,802,Bournemouth,DEF
Enes,Ünal,Enes Ünal,804,Bournemouth,FWD
Dominic,Sadi,Sadi,811,Bournemouth,MID
Michael,Dacosta Gonzalez,Dacosta Gonzalez,849,Bournemouth,MID
Callan,McKenna,McKenna,855,Bournemouth,GLK
Kristoffer,Ajer,Ajer,90,Brentford,DEF
Ellery,Balcombe,Balcombe,91,Brentford,GLK
Shandon,Baptiste,Baptiste,92,Brentford,MID
Mads,Bech Sørensen,Bech,93,Brentford,DEF
Mads,Bidstrup,Bidstrup,94,Brentford,MID
Sergi,Canós Tenés,Canós,95,Brentford,MID
Nathan,Collins,Collins,96,Brentford,DEF
Matthew,Cox,Cox,97,Brentford,GLK
Mikkel,Damsgaard,Damsgaard,98,Brentford,MID
Josh,Dasilva,Dasilva,99,Brentford,MID
Halil,Dervişoğlu,Dervişoğlu,100,Brentford,FWD
Mark,Flekken,Flekken,101,Brentford,GLK
Charlie,Goode,Goode,102,Brentford,DEF
Rico,Henry,Henry,103,Brentford,DEF
Aaron,Hickey,Hickey,104,Brentford,DEF
Vitaly,Janelt,Janelt,105,Brentford,MID
Mathias,Jensen,Jensen,106,Brentford,MID
Keane,Lewis-Potter,Lewis-Potter,107,Brentford,MID
Bryan,Mbeumo,Mbeumo,108,Brentford,MID
Ben,Mee,Mee,109,Brentford,DEF
Christian,Nørgaard,Nørgaard,110,Brentford,MID
Frank,Onyeka,Onyeka,111,Brentford,MID
Ethan,Pinnock,Pinnock,112,Brentford,DEF
Mads,Roerslev Rasmussen,Roerslev,114,Brentford,DEF
Kevin,Schade,Schade,115,Brentford,MID
Thomas,Strakosha,Strakosha,116,Brentford,GLK
Ivan,Toney,Toney,117,Brentford,FWD
Ryan,Trevitt,Trevitt,118,Brentford,MID
Yoane,Wissa,Wissa,119,Brentford,FWD
Yegor,Yarmoliuk,Yarmoliuk,120,Brentford,MID
Mathias,Jorgensen,Zanka,121,Brentford,DEF
Neal,Maupay,Maupay,258,Brentford,FWD
Sergio,Reguilón,Reguilón,508,Brentford,DEF
Michael,Olakigbe,Olakigbe,620,Brentford,MID
Ethan,Brierley,Brierley,684,Brentford,MID
Saman,Ghoddos,Ghoddos,701,Brentford,MID
Ji-Soo,Kim,Kim Ji-Soo,725,Brentford,DEF
Valintino,Adedokun,Adedokun,733,Brentford,DEF
Myles,Peart-Harris,Peart-Harris,744,Brentford,MID
Vincent,Angelini,Angelini,752,Brentford,GLK
Hákon,Valdimarsson,Valdimarsson,789,Brentford,GLK
Benjamin,Fredrick,Fredrick,797,Brentford,DEF
Benjamin,Arthur,Arthur,834,Brentford,DEF
Yunus,Konak,Konak,864,Brentford,MID
Simon,Adingra,Adingra,122,Brighton,MID
Steven,Alzate,Alzate,123,Brighton,MID
Yasin,Ayari,Ayari,124,Brighton,MID
Facundo,Buonanotte,Buonanotte,125,Brighton,MID
Aaron,Connolly,Connolly,127,Brighton,FWD
Mahmoud,Dahoud,Dahoud,128,Brighton,MID
Lewis,Dunk,Dunk,129,Brighton,DEF
Julio,Enciso,Enciso,130,Brighton,MID
Pervis,Estupiñán,Estupiñan,131,Brighton,DEF
Evan,Ferguson,Ferguson,132,Brighton,FWD
Billy,Gilmour,Gilmour,133,Brighton,MID
