Player,unique_player_id,extension,Link
Harvey Elliott,b9e1436c,Harvey-Elliott,https://fbref.com/en/players/b9e1436c/Harvey-Elliott
Jay Rodriguez,4ab53cdb,Jay-Rodriguez,https://fbref.com/en/players/4ab53cdb/Jay-Rodriguez
Sander Berge,d0b6129f,Sander-Berge,https://fbref.com/en/players/d0b6129f/Sander-Berge
Fabian Schär,c8aa95da,Fabian-Schar,https://fbref.com/en/players/c8aa95da/Fabian-Schar
Jamaal Lascelles,450ab6fc,Jamaal-Lascelles,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles
Martin Dúbravka,3a949a25,Martin-Dubravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka
Armando Broja,97220da2,Armando-Broja,https://fbref.com/en/players/97220da2/Armando-Broja
Ashley Young,be927d03,Ashley-Young,https://fbref.com/en/players/be927d03/Ashley-Young
Matt Turner,4a51ba65,Matt-Turner,https://fbref.com/en/players/4a51ba65/Matt-Turner
Ola Aina,246d153b,Ola-Aina,https://fbref.com/en/players/246d153b/Ola-Aina
Willy Boly,a4ac4b8f,Willy-Boly,https://fbref.com/en/players/a4ac4b8f/Willy-Boly
Carlos Vinícius,8b529245,Carlos-Vinicius,https://fbref.com/en/players/8b529245/Carlos-Vinicius
Tosin Adarabioyo,c81d773d,Tosin-Adarabioyo,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo
Altay Bayındır,072e68ed,Altay-Bayindir,https://fbref.com/en/players/072e68ed/Altay-Bayindir
Rhian Brewster,30e81a88,Rhian-Brewster,https://fbref.com/en/players/30e81a88/Rhian-Brewster
Joel Ward,8a7ff278,Joel-Ward,https://fbref.com/en/players/8a7ff278/Joel-Ward
Jordan Ayew,da052c14,Jordan-Ayew,https://fbref.com/en/players/da052c14/Jordan-Ayew
Will Hughes,a0666d3e,Will-Hughes,https://fbref.com/en/players/a0666d3e/Will-Hughes
Adam Smith,20b104bc,Adam-Smith,https://fbref.com/en/players/20b104bc/Adam-Smith
Chris Mepham,fed96827,Chris-Mepham,https://fbref.com/en/players/fed96827/Chris-Mepham
Dango Ouattara,2f9e4435,Dango-Ouattara,https://fbref.com/en/players/2f9e4435/Dango-Ouattara
Marcus Tavernier,5c0da4a4,Marcus-Tavernier,https://fbref.com/en/players/5c0da4a4/Marcus-Tavernier
Max Aarons,774cf58b,Max-Aarons,https://fbref.com/en/players/774cf58b/Max-Aarons
Ryan Fredericks,c067631c,Ryan-Fredericks,https://fbref.com/en/players/c067631c/Ryan-Fredericks
Vladimír Coufal,fdf3cb77,Vladimir-Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal
Álex Moreno,16e9d0ea,Alex-Moreno,https://fbref.com/en/players/16e9d0ea/Alex-Moreno
Jean-Ricner Bellegarde,10f0fdd3,Jean-Ricner-Bellegarde,https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde
Jonny Castro,e28868f3,Jonny-Castro,https://fbref.com/en/players/e28868f3/Jonny-Castro
